trainCode,stationCode,expectedArrivalTime,actualArrivalTime,expectedDepartureTime,actualDepartureTime
11058,BPL,09:20 26-Feb,09:49 26-Feb,09:25 26-Feb,10:01 26-Feb
11058,RKMP,09:37 26-Feb,10:13 26-Feb,09:39 26-Feb,10:15 26-Feb
11058,MDDP,09:53 26-Feb,10:29 26-Feb,09:55 26-Feb,10:32 26-Feb
11058,ODG,10:08 26-Feb,10:44 26-Feb,10:10 26-Feb,10:57 26-Feb
11058,BNI,10:41 26-Feb,12:43 26-Feb,10:42 26-Feb,12:45 26-Feb
11058,NDPM,10:52 26-Feb,12:56 26-Feb,10:54 26-Feb,12:58 26-Feb
11058,ET,11:15 26-Feb,13:29 26-Feb,11:25 26-Feb,13:39 26-Feb
11058,BPF,11:53 26-Feb,14:07 26-Feb,11:55 26-Feb,14:09 26-Feb
11058,TBN,12:16 26-Feb,14:30 26-Feb,12:18 26-Feb,14:33 26-Feb
11058,HD,12:28 26-Feb,14:46 26-Feb,12:30 26-Feb,14:48 26-Feb
11058,KKN,12:55 26-Feb,15:10 26-Feb*,12:57 26-Feb,15:11 26-Feb*
11058,CAER,13:18 26-Feb,15:32 26-Feb*,13:20 26-Feb,15:33 26-Feb*
11058,TLV,13:43 26-Feb,15:56 26-Feb*,13:45 26-Feb,15:57 26-Feb*
11058,KNW  PF 1*,14:23 26-Feb,16:19 26-Feb*,14:25 26-Feb,16:20 26-Feb*
11058,NPNR  PF 2*,14:58 26-Feb,16:53 26-Feb*,15:00 26-Feb,16:54 26-Feb*
11058,BAU  PF 1*,15:23 26-Feb,17:17 26-Feb*,15:25 26-Feb,17:18 26-Feb*
11058,RV  PF 2*,15:41 26-Feb,17:34 26-Feb*,15:43 26-Feb,17:35 26-Feb*
11058,SAV  PF 2*,15:59 26-Feb,17:50 26-Feb*,16:00 26-Feb,17:51 26-Feb*
11058,BSL  PF 4*,16:35 26-Feb,18:20 26-Feb*,16:40 26-Feb,18:21 26-Feb*
11058,JL  PF 2*,17:08 26-Feb,18:49 26-Feb*,17:10 26-Feb,18:50 26-Feb*
11058,PC  PF 1*,17:42 26-Feb,19:20 26-Feb*,17:44 26-Feb,19:21 26-Feb*
11058,CSN  PF 3*,18:18 26-Feb,19:51 26-Feb*,18:20 26-Feb,19:52 26-Feb*
11058,MMR  PF 3*,19:18 26-Feb,20:43 26-Feb*,19:20 26-Feb,20:44 26-Feb*
11058,NK  PF 3*,20:17 26-Feb,21:33 26-Feb*,20:20 26-Feb,21:34 26-Feb*
11058,KYN  PF 4*,22:47 26-Feb,23:50 26-Feb*,22:50 26-Feb,23:51 26-Feb*
11058,TNA  PF 6*,23:12 26-Feb,00:04 27-Feb*,23:15 26-Feb,00:05 27-Feb*
11058,DR  PF 6*,23:37 26-Feb,00:24 27-Feb*,23:40 26-Feb,00:25 27-Feb*
11058,CSMT  PF 14*,00:05 27-Feb,00:32 27-Feb*,DSTN,DSTN
11058,ASR,SRC,SRC,08:50 26-Feb,08:50 26-Feb
11058,JNL,09:04 26-Feb,09:09 26-Feb,09:06 26-Feb,09:10 26-Feb
11058,BEAS,09:23 26-Feb,09:30 26-Feb,09:25 26-Feb,09:33 26-Feb
11058,KRE,09:42 26-Feb,09:50 26-Feb,09:44 26-Feb,09:51 26-Feb
11058,JUC,10:08 26-Feb,10:11 26-Feb,10:15 26-Feb,10:16 26-Feb
11058,JRC,10:24 26-Feb,10:29 26-Feb,10:26 26-Feb,10:31 26-Feb
11058,PGW,10:38 26-Feb,10:43 26-Feb,10:40 26-Feb,10:45 26-Feb
11058,PHR,10:58 26-Feb,11:01 26-Feb,11:00 26-Feb,11:03 26-Feb
11058,LDH,11:30 26-Feb,11:24 26-Feb,11:45 26-Feb,11:45 26-Feb
11058,AHH,12:21 26-Feb,12:37 26-Feb,12:23 26-Feb,12:40 26-Feb
11058,MET,12:40 26-Feb,12:56 26-Feb,12:45 26-Feb,12:59 26-Feb
11058,DUI,13:25 26-Feb,13:20 26-Feb,13:45 26-Feb,13:45 26-Feb
11058,NBA,14:06 26-Feb,14:14 26-Feb,14:08 26-Feb,14:15 26-Feb
11058,PTA,14:40 26-Feb,14:42 26-Feb,14:45 26-Feb,**UA**
11058,RPJ,15:22 26-Feb,15:22 26-Feb*,15:25 26-Feb,15:25 26-Feb*
11058,UBC,15:48 26-Feb,15:48 26-Feb*,15:50 26-Feb,15:50 26-Feb*
11058,UMB  PF 1*,16:10 26-Feb,16:10 26-Feb*,16:23 26-Feb,16:23 26-Feb*
11058,SHDM  PF 1*,16:37 26-Feb,16:37 26-Feb*,16:39 26-Feb,16:39 26-Feb*
11058,KKDE  PF 2*,16:55 26-Feb,16:55 26-Feb*,16:57 26-Feb,16:57 26-Feb*
11058,NLKR  PF 1*,17:10 26-Feb,17:10 26-Feb*,17:12 26-Feb,17:12 26-Feb*
11058,TRR  PF 2*,17:18 26-Feb,17:18 26-Feb*,17:20 26-Feb,17:20 26-Feb*
11058,KUN  PF 3*,17:30 26-Feb,17:30 26-Feb*,17:32 26-Feb,17:32 26-Feb*
11058,GRA  PF 1*,17:46 26-Feb,17:46 26-Feb*,17:48 26-Feb,17:48 26-Feb*
11058,PNP  PF 2*,18:01 26-Feb,18:01 26-Feb*,18:03 26-Feb,18:03 26-Feb*
11058,SMK  PF 1*,18:17 26-Feb,18:17 26-Feb*,18:19 26-Feb,18:19 26-Feb*
11058,GNU  PF 1*,18:30 26-Feb,18:30 26-Feb*,18:32 26-Feb,18:32 26-Feb*
11058,SNP  PF 1*,18:45 26-Feb,18:45 26-Feb*,18:47 26-Feb,18:47 26-Feb*
11058,RDDE  PF 1*,18:56 26-Feb,18:56 26-Feb*,18:58 26-Feb,18:58 26-Feb*
11058,NUR  PF 1*,19:09 26-Feb,19:09 26-Feb*,19:11 26-Feb,19:11 26-Feb*
11058,ANDI  PF 1*,19:24 26-Feb,19:24 26-Feb*,19:26 26-Feb,19:26 26-Feb*
11058,SZM  PF 2*,19:50 26-Feb,19:50 26-Feb*,19:52 26-Feb,19:52 26-Feb*
11058,NDLS  PF 7*,20:25 26-Feb,20:25 26-Feb*,20:40 26-Feb,20:40 26-Feb*
11058,NZM  PF 4*,20:51 26-Feb,20:51 26-Feb*,20:53 26-Feb,20:53 26-Feb*
11058,FDB  PF 3*,21:12 26-Feb,21:12 26-Feb*,21:14 26-Feb,21:14 26-Feb*
11058,BVH  PF 5*,21:23 26-Feb,21:23 26-Feb*,21:25 26-Feb,21:25 26-Feb*
11058,PWL  PF 5*,21:53 26-Feb,21:53 26-Feb*,21:55 26-Feb,21:55 26-Feb*
11058,KSV  PF 4*,22:28 26-Feb,22:28 26-Feb*,22:30 26-Feb,22:30 26-Feb*
11058,MTJ  PF 6*,23:00 26-Feb,23:00 26-Feb*,23:05 26-Feb,23:05 26-Feb*
11058,AGC  PF 1*,23:50 26-Feb,23:50 26-Feb*,23:55 26-Feb,23:55 26-Feb*
11058,DHO,00:48 27-Feb,00:48 27-Feb*,00:50 27-Feb,00:50 27-Feb*
11058,MRA  PF 1*,01:23 27-Feb,01:23 27-Feb*,01:25 27-Feb,01:25 27-Feb*
